cement,Flyash ,Slag ,Water ,Superplasticizer ,Coarseagg,Fineagg,CuringDays,Porosity,Strength,Total_cost
300,0,0,120,0,1218.461538,761.5384615,28,9.58,44.3,6053.538462
350,0,0,140,0,1175.384615,734.6153846,28,11.08,45.2,6615.282051
400,0,0,160,0,1132.307692,707.6923077,28,11.27,45.5,7177.025641
300,0,0,150,0,1200,750,28,10.22,39.1,6320
350,0,0,175,0,1153.846154,721.1538462,28,10.3,42.1,6926.153846
400,0,0,200,0,1107.692308,692.3076923,28,7.84,42.3,7532.307692
300,0,0,180,0,1181.538462,738.4615385,28,11.14,27.6,6586.461538
350,0,0,210,0,1132.307692,707.6923077,28,10.49,32.7,7237.025641
400,0,0,240,0,1083.076923,676.9230769,28,14.32,34.4,7887.589744
300,0,0,120,0,1272.857143,707.1428571,28,13.09,42.1,6093.428571
350,0,0,140,0,1227.857143,682.1428571,28,10.39,48.5,6653.761905
400,0,0,160,0,1182.857143,657.1428571,28,9.81,50.5,7214.095238
300,0,0,150,0,1253.571429,696.4285714,28,10.04,37.1,6359.285714
350,0,0,175,0,1205.357143,669.6428571,28,9.59,44,6963.928571
400,0,0,200,0,1157.142857,642.8571429,28,9.84,46.2,7568.571429
300,0,0,180,0,1234.285714,685.7142857,28,11.07,37.3,6625.142857
350,0,0,210,0,1182.857143,657.1428571,28,11.63,43.2,7274.095238
400,0,0,240,0,1131.428571,628.5714286,28,12.64,43.8,7923.047619
325,0,0,178.75,0,1137.75,758.5,3,11.1176,28.7234,6746.016667
325,97.5,0,159.25,0,1090.95,727.3,3,10.8028,18.883,7927.196667
325,130,0,156,0,1073.4,715.6,3,10.7946,16.7553,8349.826667
325,0,0,182,0,1135.8,757.2,3,12.4274,24.4681,6774.92
325,97.5,0,170.625,0,1084.125,722.75,3,10.6779,11.7021,8028.358333
325,130,0,167.375,0,1066.575,711.05,3,10.5665,10.9043,8450.988333
325,0,0,178.75,0,1137.75,758.5,7,10.751,39.3617,6746.016667
